1949-10-01 14:21:02	34c
1949-10-03 19:21:02	38c
1949-10-02 11:01:02	36c
1949-10-02 14:01:02	34c
1949-10-03 14:01:02	39c
1949-10-03 15:01:02	31c
1951-01-01 10:21:01	22c
1951-01-02 11:23:02	32c
1951-01-03 11:21:03	28c
1951-02-01 12:23:04	26c
1951-02-01 12:21:05	33c
1951-03-01 11:21:06	27c
1951-03-01 15:21:07	23c
1951-04-01 17:21:08	26c
1951-05-01 18:21:04	38c
1951-05-01 19:21:02	43c
1952-03-02 11:21:01	41c
1952-03-03 12:21:02	27c
1952-05-01 11:21:01	35c
1952-05-02 12:21:02	36c
1952-06-04 13:21:03	27c
1952-06-05 14:21:04	17c
1952-07-06 10:21:05	33c
1952-07-07 11:21:06	42c

